Question_Code,Question_Text,Country,Answer,Percentage
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,8-14 nights,14.606742
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,15 or more nights,5.0561799999999995
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Overnight stay,10.513644
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Short trip,41.332263000000005
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Medium trip,28.491172
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Long trip,14.606742
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,Extra long trip,5.0561799999999995
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,1 night,16.528239
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,2-4 nights,50.66445199999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,5-7 nights,23.33887
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,8-14 nights,6.810631000000001
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,15 or more nights,2.657807
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,Overnight stay,16.528239
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,Short trip,50.66445199999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,Medium trip,23.33887
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,Long trip,6.810631000000001
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,US,Extra long trip,2.657807
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,1 night,10.536980999999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,2-4 nights,52.178318000000004
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,5-7 nights,32.522796
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,8-14 nights,3.343465
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,15 or more nights,1.41844
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,Overnight stay,10.536980999999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,Short trip,52.178318000000004
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,Medium trip,32.522796
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,Long trip,3.343465
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,CN,Extra long trip,1.41844
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,1 night,31.096196999999997
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,2-4 nights,52.796421
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,5-7 nights,11.521253
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,8-14 nights,3.355705
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,15 or more nights,1.2304249999999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,Overnight stay,31.096196999999997
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,Short trip,52.796421
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,Medium trip,11.521253
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,Long trip,3.355705
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,KR,Extra long trip,1.2304249999999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,1 night,13.819369
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,2-4 nights,43.41675699999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,5-7 nights,25.788900999999996
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,8-14 nights,9.466812
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,15 or more nights,7.508161
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,Overnight stay,13.819369
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,Short trip,43.41675699999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,Medium trip,25.788900999999996
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,Long trip,9.466812
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UAE,Extra long trip,7.508161
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,BR,1 night,10.240964
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,BR,2-4 nights,45.662651
